country,bothsexes16,male16,female16,Bothsexes6016,Male6016,Female6016,Male15,Female15,Bothsexes6015,Male6015,Female6015,Bothsexes14,Male14,Female14,Bothsexes6014,Male6014,Female6014,Bothsexes13,Male13,Female13,Bothsexes6013,Male6013,Female6013,Bothsexes12,Male12,Female12,Bothsexes6012,Male6012,Female6012,Bothsexes11,Male11,Female11,Bothsexes6011,Male6011,Female6011
Afghanistan,62.7,61,64.5,16.3,15.5,17.1,61.8,64.7,16.3,15.5,17.1,63,61.7,64.4,16.2,15.4,17,62.7,61.5,64.1,16.2,15.4,16.9,62.2,60.9,63.6,16.1,15.3,16.8,61.7,60.5,63.1,16,15.3,16.8
Albania,76.4,74.3,78.6,20.8,19.4,22.3,74.2,78.2,20.4,19.1,21.8,76.1,74,78.5,20.7,19.3,22.2,75.7,73.6,78.1,20.4,19,22,75.2,73,77.7,19.9,18.5,21.6,75.1,72.6,78.2,20.2,18.3,22.7
Algeria,76.4,75.4,77.4,21.9,21.4,22.5,75.3,77.2,21.8,21.3,22.3,76.1,75.1,77.1,21.7,21.2,22.2,75.9,75,76.9,21.6,21.1,22.1,75.8,74.8,76.8,21.5,21,22,75.6,74.6,76.6,21.4,20.9,21.9
Angola,62.6,60.3,64.9,17.3,16.5,18.1,59.9,64.5,17.3,16.4,18.1,61.7,59.4,64,17.2,16.3,18,61,58.8,63.3,17.1,16.2,17.9,60.4,58.1,62.6,17,16.2,17.8,59.5,57.2,61.8,16.9,16,17.6
Antigua and Barbuda,75,72.5,77.5,19.7,17.7,21.7,72.5,77.4,19.7,17.7,21.6,74.6,72.1,77.1,19.5,17.5,21.5,74.8,72.5,77,19.8,18,21.4,74.8,72.5,77,19.9,18.2,21.5,75,72.6,77.2,20.1,18.5,21.5
Argentina,76.9,73.5,80.3,21.8,19.2,24.1,73.3,80.1,21.7,19.1,24,76.7,73.2,80,21.7,19.1,23.9,76.3,72.8,79.7,21.4,18.8,23.7,76.2,72.7,79.7,21.4,18.8,23.8,76,72.5,79.3,21.2,18.7,23.4
Armenia,74.8,71.2,78.1,19.6,17.4,21.4,70.9,77.9,19.5,17.3,21.3,74.5,70.9,77.7,19.3,17.2,21.1,74.5,71,77.6,19.4,17.5,21.1,74,70.4,77.3,19.3,17.3,21.1,73.6,69.8,77.1,19.1,17,21
Australia,82.9,81,84.8,25.6,24.3,26.9,80.6,84.5,25.3,24,26.7,82.7,80.7,84.6,25.4,24,26.8,82.8,80.8,84.8,25.5,24,26.9,82.5,80.6,84.5,25.3,23.8,26.6,82.2,80.1,84.3,25,23.4,26.5
Austria,81.9,79.4,84.2,24.4,22.5,26.1,78.9,83.8,24,22,25.7,81.7,79.2,84,24.3,22.4,26,81.3,78.8,83.8,24,22.1,25.8,81,78.5,83.5,23.8,21.9,25.5,81,78.3,83.5,23.9,21.9,25.7
Azerbaijan,73.1,70.3,75.7,18.9,17.2,20.5,70.2,75.5,18.8,17.1,20.3,72.6,69.9,75.3,18.7,17,20.2,72.3,69.7,74.9,18.6,16.9,20.1,71.9,69.3,74.5,18.5,16.8,19.9,71.6,68.9,74.3,18.4,16.7,20
Bahamas,75.7,72.6,78.6,22.6,20.7,24.1,72.4,78.5,22.5,20.7,24.1,75.2,72.1,78.1,22.4,20.6,24,75.2,72.1,78.1,22.4,20.5,23.9,75.2,72.2,78.1,22.3,20.4,23.8,75.3,72.3,78.1,22.2,20.3,23.6
Bahrain,79.1,78.6,79.6,21.7,21.5,22,78.3,79.4,21.5,21.2,21.7,78.3,77.7,79.1,21.1,20.8,21.5,78.3,77.9,78.9,21.2,21,21.3,77.7,77.3,78.2,20.6,20.3,20.9,77.2,76.5,77.9,20,19.5,20.5
