Country,2015,2015capita,2014,2014capita,2013,2013capita,2012,2012capita,2011,2011capita,2010,2010capita,2009,2009capita,2008,2008capita,2007,2007capita,2006,2006capita,2005,2005capita,2004,2004capita,2003,2003capita,2002,2002capia,2001,2001capita,2000,2000capita
Afghanistan,10.3,183.9,9.7,176.9,8.8,164.2,7.9,144,8.6,138.8,8.6,132.3,9.8,143.8,10.3,127.6,9.9,104.7,10.6,111.3,9.9,98.6,9.8,87.7,8.9,80.9,9.4,79.8,0,0,0,0
Albania,6.8,773.7,7,779.3,6.3,665.7,5.9,612.8,5.6,570.9,5,481.1,5.1,444.9,5.6,452.6,6.1,437.8,5.9,381.5,6.3,363.8,6.6,347.8,6.4,310,6.4,293.4,6.5,275.3,6.8,258.1
Algeria,7.1,1031.2,6.5,929.1,6,828,6,804.4,5.3,684.3,5.1,645.3,5.4,656.1,4.2,511,3.8,452.6,3.4,380.2,3.2,354.9,3.5,360.7,3.6,346.4,3.7,332.4,3.8,323,3.5,282.4
Angola,2.9,195.5,2.8,184.6,3,191.6,2.7,162.8,2.8,168.1,2.7,158.3,3.6,205,3.5,201,3.2,164.9,3.6,152.1,4,139.8,5,149.5,4.7,127.8,4.2,111.2,5.2,149,2.5,69.6
Antigua and Barbuda,4.8,1105.1,5.7,1205.4,5.4,1031.7,5.1,990.2,5.7,1065.9,5.5,1041.5,4.7,957.8,4.6,1059.6,4.2,957.8,4.3,883.1,4.4,773.2,4.2,679.3,4.5,685.7,4.4,623.4,4.5,622.8,4.1,578
Argentina,6.8,1389.8,6.4,1268.3,6.4,1287.7,6.3,1225.5,6.3,1244.5,6.8,1238,7,1162.7,6.3,1109.7,6.4,1082.2,6.4,976.8,6.4,880.5,5.9,727.3,5.9,722.8,4.7,523.2,5.2,641.4,5,644
Armenia,10.1,883.2,7,591.3,8.3,661.4,6.7,513.4,3.8,265.2,5.3,345.7,4.7,296.5,4.3,315.6,5.4,359.7,5.6,313.4,7,335.5,8.2,331.7,5.6,198.2,5.7,171.9,6.5,170.8,6.5,150.8
Australia,9.4,4491.6,9.1,4287.2,8.8,4179.7,8.7,3792.1,8.6,3770.4,8.5,3593.1,8.6,3556.5,8.3,3295.6,8.1,3178.2,8,3005.2,8,2833.3,8.1,2743.6,7.9,2549.2,7.9,2429,7.7,2272.1,7.6,2152.6
Austria,10.3,5138.2,10.3,5025.4,10.2,4881,10.1,4696,9.9,4392.2,10.1,4243.9,10.1,4132.4,9.6,3962.4,9.5,3716.3,9.5,3557.7,9.6,3351.8,9.6,3257.8,9.6,3073.3,9.4,2935.8,9.3,2768,9.2,2705.1
Azerbaijan,6.7,1191.3,5.7,998.8,5.4,930.7,5.1,839.8,4.8,756.9,4.9,768.7,5.4,805.6,4,548.6,4.7,578.8,5.8,555.7,7.4,521.4,7.3,400.8,6,291.8,3.7,161.4,3.7,144.1,3.8,134.3
Bahamas,7.4,1699.1,7.3,1704.1,7.4,1732.3,7.6,1790.1,7.6,1733,7.4,1670.4,7.5,1657.2,7.3,1701.9,7,1667.9,6.8,1590.3,5.9,1325.8,5.9,1270.8,5.5,1174.3,5.2,1130.4,5.1,1073.4,5.1,1045.8
Bahrain,5.2,2453.2,4.6,2164.6,4.3,1902.2,4.2,1714.6,3.1,1239.2,3.3,1306.4,3.5,1359.9,2.9,1156.4,2.9,1160.5,2.9,1128.4,3,1140.8,3.2,1184.3,3.6,1292.5,3.7,1324.1,3.7,1306.7,3.4,1219.5
Bangladesh,2.6,88,2.7,83.2,2.7,77.9,2.7,75.8,2.8,71,2.7,64.2,2.6,58,2.5,53.8,2.6,51.8,2.5,46.3,2.8,41.8,2.7,37.4,2.7,34.5,2.6,32.4,2.4,28.6,2.4,27.6
Barbados,7.5,1233.6,7.7,1239.2,8.2,1293.9,8.3,1304.9,7.4,1140.4,6.9,1042.3,7,1038.8,6.8,1047,6.2,946.9,6.2,906.8,6.3,846.4,6.6,834.2,6.6,794.6,5.8,669.1,5.4,617.6,5.2,598.4
