Country,Totallife,Malelife,Femalelife,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total
Afghanistan,62.7,61,64.5,36,60,42,55,93,64,30,46,34,41,74,48,22,30,24,22,49,28
Albania,76.4,74.3,78.6,97,98,98,90,92,91,93,98,96,82,93,88,82,97,88,82,96,88
Algeria,76.4,75.4,77.4,82,90,88,89,95,94,79,90,87,87,95,92,72,91,84,83,94,90
Angola,62.6,60.3,64.9,22,63,49,27,71,55,17,57,41,25,68,50,8,48,28,21,61,41
Antigua and Barbuda,75,72.5,77.5,0,0,88,0,0,97,0,0,86,0,0,97,0,0,82,0,0,98
Argentina,76.9,73.5,80.3,77,96,94,93,100,99,75,94,93,90,99,98,69,89,87,76,99,96
Armenia,74.8,71.2,78.1,83,100,93,100,100,100,81,97,91,96,99,98,77,92,87,89,99,95
Australia,82.9,81,84.8,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,99,100,100
Austria,81.9,79.4,84.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,73.1,70.3,75.7,88,96,92,80,99,91,76,88,83,74,98,87,53,73,63,55,91,73
Bahamas,75.7,72.6,78.6,0,0,95,0,0,99,0,0,93,0,0,99,0,0,88,0,0,98
Bahrain,79.1,78.6,79.6,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
Bangladesh,72.7,71.1,74.4,45,50,47,97,97,97,35,49,39,96,98,96,20,44,26,94,99,95
Barbados,75.6,73.1,78,0,0,97,0,0,98,0,0,94,0,0,98,0,0,89,0,0,98
Belarus,74.2,68.8,79.2,96,98,98,98,96,96,96,95,95,98,97,98,96,90,92,99,99,99
Belgium,81.2,78.8,83.5,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Belize,70.5,67.9,73.4,83,93,88,96,99,98,82,90,86,92,97,94,80,85,82,84,91,87
Benin,61.1,59.7,62.4,8,27,16,58,76,66,5,24,13,56,76,65,2,19,9,52,77,61
Bhutan,70.6,70.4,70.8,65,73,68,97,98,97,56,73,62,90,97,93,41,74,50,78,96,83
Bolivia (Plurinational State of),71.5,69.1,74,35,70,59,77,99,92,26,59,48,69,98,88,15,47,35,54,95,79
Bosnia and Herzegovina,77.3,74.8,79.8,92,99,95,97,95,96,92,99,95,97,96,97,93,98,95,96,99,97
Botswana,66.1,63.6,68.4,50,88,76,74,97,89,43,81,67,63,95,83,33,69,52,54,94,75
Brazil,75.1,71.4,78.9,59,92,87,88,99,98,50,88,82,83,99,96,36,81,73,74,98,94
Brunei Darussalam,76.4,75.3,77.6,0,0,0,0,0,100,0,0,96,0,0,100,0,0,0,0,0,100
Bulgaria,74.8,71.4,78.4,84,87,86,98,99,99,84,87,86,99,100,99,84,87,86,99,100,100
Burkina Faso,60.3,59.6,60.9,11,40,19,36,79,48,8,44,17,42,77,51,3,50,11,51,74,55
Burundi,60.1,58.5,61.8,46,42,46,56,89,60,46,43,46,53,87,57,46,41,45,48,82,51
Cabo Verde,73.2,71.1,75,60,79,72,74,93,86,46,70,61,71,90,83,22,56,40,70,86,79
Cambodia,69.4,67.3,71.2,46,94,57,71,96,77,28,75,38,62,88,68,2,46,10,47,76,52
Cameroon,58.1,56.7,59.4,18,56,39,39,77,60,21,56,39,39,80,60,27,56,40,38,85,59
