,"2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$"
"Afghanistan","10.3","60.1","183.9","9.7","60.1","176.9","8.8","56.0","164.2","7.9","52.2","144.0","8.6","51.6","138.8","8.6","45.6","132.3","9.8","42.3","143.8","10.3","38.7","127.6","9.9","31.8","104.7","10.6","28.4","111.3","9.9","24.4","98.6","9.8","20.9","87.7","8.9","17.5","80.9","9.4","16.2","79.8","No data","No data","No data","No data","No data","No data"
"Albania","6.8","265.9","773.7","7.0","314.9","779.3","6.3","277.7","665.7","5.9","247.3","612.8","5.6","248.2","570.9","5.0","204.2","481.1","5.1","207.4","444.9","5.6","240.4","452.6","6.1","216.4","437.8","5.9","172.8","381.5","6.3","165.9","363.8","6.6","152.0","347.8","6.4","113.6","310.0","6.4","89.9","293.4","6.5","81.9","275.3","6.8","75.5","258.1"
"Algeria","7.1","291.6","1031.2","6.5","357.9","929.1","6.0","330.2","828.0","6.0","333.9","804.4","5.3","286.2","684.3","5.1","228.4","645.3","5.4","207.3","656.1","4.2","206.1","511.0","3.8","150.4","452.6","3.4","116.2","380.2","3.2","100.3","354.9","3.5","92.1","360.7","3.6","75.4","346.4","3.7","66.2","332.4","3.8","66.5","323.0","3.5","61.3","282.4"
"Andorra","12.0","4315.7","5948.6","12.0","5088.2","5810.8","14.2","5751.4","6513.8","12.1","4641.6","5312.5","11.8","4860.5","4856.1","11.6","4595.7","4819.4","10.9","4721.9","4787.4","10.4","4985.6","4727.1","9.8","4764.9","4769.1","9.7","4249.2","4577.4","9.8","4036.8","4271.1","9.2","3539.7","3751.0","9.2","3008.3","3554.0","9.4","2332.2","3394.6","9.4","2081.3","3143.0","9.3","2050.6","3049.0"
"Angola","2.9","108.6","195.5","2.8","131.8","184.6","3.0","143.8","191.6","2.7","122.5","162.8","2.8","122.2","168.1","2.7","96.7","158.3","3.6","120.0","205.0","3.5","135.4","201.0","3.2","92.6","164.9","3.6","74.3","152.1","4.0","57.4","139.8","5.0","52.1","149.5","4.7","36.7","127.8","4.2","30.2","111.2","5.2","27.3","149.0","2.5","13.9","69.6"
"Antigua and Barbuda","4.8","657.2","1105.1","5.7","731.5","1205.4","5.4","655.5","1031.7","5.1","640.2","990.2","5.7","683.6","1065.9","5.5","672.8","1041.5","4.7","617.8","957.8","4.6","676.6","1059.6","4.2","597.1","957.8","4.3","544.9","883.1","4.4","489.9","773.2","4.2","424.4","679.3","4.5","433.4","685.7","4.4","406.7","623.4","4.5","409.3","622.8","4.1","381.1","578.0"
"Argentina","6.8","997.9","1389.8","6.4","845.1","1268.3","6.4","920.8","1287.7","6.3","864.5","1225.5","6.3","806.9","1244.5","6.8","698.6","1238.0","7.0","576.8","1162.7","6.3","567.3","1109.7","6.4","465.2","1082.2","6.4","380.1","976.8","6.4","326.6","880.5","5.9","250.7","727.3","5.9","218.0","722.8","4.7","137.9","523.2","5.2","403.0","641.4","5.0","418.4","644.0"
"Armenia","10.1","366.0","883.2","7.0","281.3","591.3","8.3","317.9","661.4","6.7","247.3","513.4","3.8","133.2","265.2","5.3","169.4","345.7","4.7","140.4","296.5","4.3","174.3","315.6","5.4","170.9","359.7","5.6","120.6","313.4","7.0","115.6","335.5","8.2","98.1","331.7","5.6","52.2","198.2","5.7","44.6","171.9","6.5","45.4","170.8","6.5","40.5","150.8"
