Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Afghanistan,37,62,43,36,60,42,35,58,41,34,55,39,33,53,38,32,51,37,31,49,35,30,46,34,29,44,33,28,42,32,27,40,30,27,38,29,26,36,28,25,35,27,24,33,26,23,31,25,22,30,24,22,30,24
Albania,97,98,98,97,98,98,97,98,98,97,98,98,96,98,97,95,98,97,94,98,96,93,98,96,92,98,95,91,98,94,90,98,94,89,98,93,88,97,92,86,97,91,85,97,91,84,97,90,83,97,89,82,97,88
Algeria,82,90,88,82,90,88,82,90,87,82,90,87,81,90,87,80,90,87,80,90,87,79,90,87,78,90,86,78,90,86,77,91,86,76,91,86,76,91,85,75,91,85,74,91,85,74,91,84,73,91,84,72,91,84
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,23,64,50,22,63,49,21,62,47,20,61,46,20,60,45,19,59,44,18,58,42,17,57,41,16,56,40,15,55,39,14,54,37,13,53,36,12,52,35,11,51,33,10,50,32,9,49,30,8,49,29,8,48,28
Antigua and Barbuda,,,88,,,88,,,88,,,88,,,88,,,87,,,87,,,86,,,86,,,86,,,85,,,85,,,84,,,84,,,84,,,83,,,83,,,82
Argentina,,96,,77,96,94,77,96,94,77,96,94,77,96,94,77,95,94,76,95,93,75,94,93,75,94,92,74,93,91,73,93,91,73,92,90,72,92,90,71,91,89,71,91,89,70,90,88,69,90,88,69,89,87
Armenia,83,100,94,83,100,93,82,99,93,82,99,93,82,98,92,81,98,92,81,97,91,81,97,91,80,96,91,80,96,90,80,96,90,79,95,89,79,95,89,78,94,88,78,94,88,78,93,88,77,93,87,77,92,87
Australia,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,88,96,93,88,96,92,88,96,92,85,96,91,83,95,89,81,92,87,78,90,85,76,88,83,73,86,80,71,84,78,69,82,76,66,80,74,64,79,72,62,77,69,59,76,68,57,75,66,55,74,65,53,73,63
Bahamas,,,95,,,95,,,95,,,95,,,94,,,94,,,93,,,93,,,92,,,92,,,91,,,91,,,90,,,90,,,89,,,89,,,88,,,88
Bahrain,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Bangladesh,47,51,48,45,50,47,44,50,46,42,50,44,40,49,43,38,49,42,37,49,41,35,49,39,33,48,38,32,48,37,30,48,35,29,48,34,27,47,32,25,47,31,24,46,30,23,45,28,21,45,27,20,44,26
Barbados,,,97,,,97,,,96,,,96,,,95,,,95,,,94,,,94,,,93,,,93,,,92,,,92,,,91,,,91,,,90,,,90,,,89,,,89
Belarus,96,98,98,96,98,98,96,98,98,96,98,98,96,97,97,96,97,97,96,96,96,96,95,95,96,94,95,96,94,94,96,93,94,96,92,93,96,91,93,96,91,92,96,90,92,96,90,92,96,90,92,96,90,92
Belgium,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Belize,83,93,88,83,93,88,83,92,87,83,92,87,83,91,87,83,91,86,83,90,86,82,90,86,82,89,85,82,89,85,82,88,85,82,88,84,82,87,84,81,87,84,81,86,83,81,86,83,80,86,83,80,85,82
Benin,8,27,16,8,27,16,7,26,16,7,26,16,7,25,15,6,25,15,6,24,14,5,24,13,5,23,13,5,23,12,4,22,12,4,22,11,4,21,11,3,21,10,3,20,10,3,20,9,2,19,9,2,19,9
Bhutan,67,73,69,65,73,68,64,73,67,62,73,66,61,73,65,59,73,64,57,73,63,56,73,62,54,73,61,53,73,60,51,74,58,49,74,57,48,74,56,46,74,54,45,74,53,43,74,52,41,74,50,41,74,50
Bolivia (Plurinational State of),36,72,61,35,70,59,33,68,57,32,66,55,30,64,53,29,62,51,28,60,50,26,59,48,25,57,46,24,55,44,23,53,43,21,52,41,20,51,40,19,50,39,18,49,38,17,48,37,16,47,36,15,47,35
Bosnia and Herzegovina,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,92,99,95,93,99,95,93,98,95
Botswana,51,89,77,50,88,76,49,87,75,48,86,73,47,85,72,45,84,70,44,82,69,43,81,67,42,80,65,41,79,63,40,77,62,39,76,60,38,75,59,37,74,57,36,72,56,35,71,55,34,70,53,33,69,52
Brazil,60,93,88,59,92,87,57,91,87,56,91,86,54,90,85,53,89,84,52,89,83,50,88,82,49,87,81,47,87,80,46,86,79,45,85,78,43,85,78,42,84,77,40,83,76,39,83,75,37,82,74,36,81,73
Brunei Darussalam,,,,,,,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,,,,,,,,,,,,,,,,,,,
Bulgaria,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86,84,87,86
Burkina Faso,11,39,19,11,40,19,10,41,19,10,42,19,10,42,18,9,43,18,9,44,17,8,44,17,7,45,17,7,46,16,6,46,16,6,47,15,5,48,14,5,48,14,4,49,13,3,50,12,3,50,12,3,50,11
Burundi,46,42,46,46,42,46,46,42,46,46,42,46,46,42,46,46,42,46,46,43,46,46,43,46,46,43,46,46,43,46,46,43,46,46,43,46,46,43,46,46,43,46,46,43,46,46,42,46,46,41,45,46,41,45
Cabo Verde,62,80,74,60,79,72,58,77,70,56,76,69,53,75,67,51,73,65,48,72,63,46,70,61,44,69,59,41,67,57,39,66,55,37,64,53,34,63,51,32,61,49,29,60,46,27,58,44,25,57,42,22,56,40
Cambodia,48,96,59,46,94,57,43,91,53,40,88,50,37,85,47,34,82,44,31,78,41,28,75,38,25,72,35,23,69,32,20,66,29,17,63,26,15,60,23,12,58,21,9,55,18,7,52,15,4,49,13,2,46,10
Cameroon,18,56,39,18,56,39,18,56,39,19,56,39,19,56,39,20,56,39,21,56,39,21,56,39,22,56,39,22,56,39,23,56,39,24,56,39,24,56,39,25,56,40,25,56,40,26,55,40,27,56,40,27,56,40
Canada,99,99,99,99,99,99,99,99,99,99,100,99,99,100,99,99,100,99,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100
Central African Republic,,,,9,49,25,9,49,25,9,49,25,9,49,25,9,49,25,9,47,24,9,45,23,9,43,22,9,41,21,9,39,21,9,38,20,9,36,19,9,34,18,9,32,17,8,30,17,8,28,16,8,26,15
Chad,2,30,8,2,30,9,3,31,9,3,31,9,3,31,9,4,31,10,4,31,10,5,31,10,5,31,11,5,31,11,6,30,11,6,30,11,6,29,11,7,28,11,7,28,11,7,27,11,7,26,11,8,26,12
Chile,100,100,100,100,100,100,99,100,100,96,100,99,94,99,99,92,99,98,90,99,98,88,99,97,86,98,97,84,98,96,82,98,96,80,98,95,78,97,95,76,97,94,74,97,94,72,97,93,70,96,93,68,96,92
China,76,91,85,74,90,83,72,89,82,70,88,80,68,88,78,66,87,77,64,86,75,62,85,74,60,85,72,58,84,70,56,83,68,54,82,67,52,81,65,50,81,63,48,80,61,46,79,59,44,78,57,44,77,56
Colombia,76,93,90,75,92,89,73,91,88,71,90,87,70,90,85,68,89,84,66,88,83,65,87,82,63,86,81,62,86,80,60,85,79,59,84,78,57,83,77,55,82,76,54,82,75,52,81,74,51,80,73,49,79,72
Comoros,32,45,36,32,45,36,32,45,36,31,44,35,31,45,35,31,45,35,30,45,35,30,45,34,30,46,34,29,46,34,29,46,33,28,46,33,28,46,33,27,46,32,26,46,32,26,45,31,25,45,30,23,44,29
Congo,6,27,20,6,26,20,6,26,19,6,25,18,6,24,18,6,23,17,6,23,17,6,22,16,6,21,16,6,21,15,6,20,15,6,19,14,6,18,14,6,18,13,6,17,13,6,17,12,6,16,12,6,16,12
Cook Islands,,,98,,,98,,,98,,,98,,,98,,,97,,,97,,,96,,,96,,,96,,,95,,,95,,,94,,,94,,,93,,,93,,,93,,,92
Costa Rica,96,98,98,95,98,98,95,98,97,94,98,97,93,98,97,93,98,96,92,97,96,92,97,96,91,97,95,91,97,95,90,97,95,90,97,95,90,97,94,90,97,94,89,97,94,89,97,94,89,97,94,89,97,93
Côte d'Ivoire,18,46,32,17,46,31,16,45,31,16,45,30,15,44,29,14,44,28,13,43,28,13,43,27,12,42,26,11,42,25,11,41,25,10,41,24,9,40,23,9,40,23,8,40,22,8,39,22,8,39,21,7,39,21
Croatia,95,98,97,95,98,97,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96,95,98,96
Cuba,95,92,93,95,92,93,93,92,92,92,92,92,90,92,92,88,92,91,87,92,91,85,92,90,83,92,90,82,92,89,80,92,89,79,91,88,77,91,88,75,91,88,75,91,87,74,91,87,74,91,87,73,92,87
Cyprus,98,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,100,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czechia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Democratic People's Republic of Korea,72,90,83,72,89,82,71,88,82,71,87,81,70,86,80,70,86,79,70,85,79,69,84,78,69,83,77,68,82,77,68,81,76,67,81,75,67,81,75,67,81,75,67,81,75,67,81,75,,,,,,
Democratic Republic of the Congo,18,23,20,18,23,20,18,23,20,18,23,20,19,23,20,19,23,20,19,23,20,19,23,21,19,23,21,19,23,21,19,23,21,19,23,21,19,23,21,19,23,21,20,23,21,20,23,21,20,23,21,20,23,21
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,19,76,64,19,75,62,18,74,61,18,72,60,17,71,59,17,69,57,16,68,56,15,67,55,15,65,54,14,64,52,14,62,51,13,61,50,13,59,49,12,58,47,12,58,47,12,58,47,12,58,47,12,58,47
Dominica,,,,,,,,,78,,,78,,,78,,,78,,,78,,,77,,,75,,,74,,,73,,,72,,,70,,,69,,,68,,,67,,,65,,,64
Dominican Republic,74,86,84,73,86,84,73,86,83,73,86,83,73,85,82,73,85,82,73,85,82,73,85,81,73,84,81,72,84,81,72,84,80,72,83,80,72,83,79,72,83,79,72,83,79,72,82,78,71,82,78,71,82,78
Ecuador,83,91,88,81,91,87,80,90,86,78,89,85,76,88,84,75,88,83,73,87,82,71,86,81,69,85,79,68,85,78,66,84,77,64,83,76,63,83,75,61,82,74,59,81,73,57,81,72,56,81,71,54,80,70
