Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Afghanistan,57,96,67,55,93,64,52,89,62,50,86,59,48,83,56,45,80,54,43,77,51,41,74,48,38,70,46,36,67,43,34,65,41,32,62,38,30,59,36,28,57,34,26,54,32,24,52,30,22,49,28,22,49,28
Albania,90,92,91,90,92,91,90,92,91,90,92,91,86,92,89,83,92,88,82,93,88,82,93,88,82,93,88,82,94,88,82,94,88,82,94,88,82,95,88,82,95,88,82,95,88,82,96,88,82,96,88,82,96,88
Algeria,89,95,94,89,95,94,89,95,93,88,95,93,88,95,93,88,95,93,87,95,93,87,95,92,87,95,92,86,95,92,86,95,92,85,95,91,85,95,91,85,95,91,84,94,91,84,94,90,84,94,90,83,94,90
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,27,71,56,27,71,55,27,70,54,26,70,54,26,69,53,26,69,52,25,68,51,25,68,50,25,67,50,24,66,49,24,66,48,23,65,47,23,65,46,23,64,45,22,63,44,22,63,43,22,62,42,21,61,41
Antigua and Barbuda,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,98,,,98,,,98,,,98,,,98,,,98,,,98
Argentina,,100,,93,100,99,93,100,99,93,100,99,93,100,99,93,99,99,92,99,99,90,99,98,89,99,98,87,99,98,86,99,98,85,99,98,83,99,97,82,99,97,81,99,97,79,99,97,78,99,96,76,99,96
Armenia,100,100,100,100,100,100,100,100,100,99,100,100,98,100,99,98,100,99,97,100,99,96,99,98,95,99,98,95,99,98,94,99,97,93,99,97,92,99,97,92,99,96,91,99,96,90,99,96,89,99,95,89,99,95
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,82,99,91,80,99,91,79,99,90,78,99,89,77,99,89,76,98,88,75,98,87,74,98,87,72,98,86,71,98,85,69,97,84,67,96,82,65,95,81,63,94,79,61,93,78,59,93,76,57,92,75,55,91,73
Bahamas,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,98,,,98,,,98,,,98,,,98,,,98
Bahrain,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Bangladesh,97,97,97,97,97,97,96,98,97,96,98,97,96,98,97,96,98,97,96,98,97,96,98,96,96,98,96,95,98,96,95,98,96,95,98,96,95,99,96,95,99,96,95,99,96,95,99,96,94,99,95,94,99,95
Barbados,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98
Belarus,98,96,96,98,96,96,98,96,96,98,96,96,98,96,97,98,97,97,98,97,97,98,97,98,99,98,98,99,98,98,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,97,99,98,96,99,98,96,99,97,95,99,97,94,98,96,93,98,95,93,97,95,92,97,94,91,96,93,90,96,93,89,95,92,89,94,91,88,94,91,87,93,90,87,93,89,86,92,89,85,92,88,84,91,87
Benin,58,76,66,58,76,66,58,76,66,58,76,66,57,76,66,57,76,65,56,76,65,56,76,65,56,76,64,55,76,64,55,76,64,55,76,63,54,76,63,54,76,63,53,76,62,53,77,62,52,77,62,52,77,61
Bhutan,97,98,97,97,98,97,96,98,97,95,98,96,94,98,95,93,98,94,91,97,94,90,97,93,89,97,92,88,97,91,87,97,90,86,97,89,84,96,88,83,96,87,82,96,86,81,96,85,80,96,84,78,96,83
Bolivia (Plurinational State of),78,99,93,77,99,92,75,99,91,74,99,91,73,98,90,71,98,89,70,98,89,69,98,88,67,97,87,66,97,86,64,97,86,63,97,85,61,96,84,60,96,83,59,96,82,57,96,81,56,95,80,54,95,79
Bosnia and Herzegovina,97,95,96,97,95,96,97,95,96,97,95,96,97,95,96,97,95,96,97,96,97,97,96,97,97,96,97,97,96,97,97,97,97,97,97,97,97,97,97,97,98,97,97,98,97,96,98,97,96,98,97,96,99,97
Botswana,76,97,90,74,97,89,72,97,88,70,96,87,68,96,86,66,96,85,65,95,84,63,95,83,61,95,82,59,95,80,58,94,79,56,94,77,54,94,76,54,94,76,54,94,76,54,94,76,54,94,76,54,94,75
Brazil,90,100,98,88,99,98,87,99,98,86,99,97,85,99,97,84,99,97,84,99,97,83,99,96,82,99,96,81,99,96,80,99,96,79,99,95,78,99,95,78,98,95,77,98,95,76,98,94,75,98,94,74,98,94
Brunei Darussalam,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Bulgaria,98,99,99,98,99,99,98,100,99,98,100,99,98,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100
Burkina Faso,35,80,48,36,79,48,37,79,49,38,79,49,39,78,49,40,78,50,41,78,50,42,77,51,43,77,51,44,77,52,45,76,52,46,76,53,47,75,53,48,75,54,49,75,54,50,74,55,51,74,55,51,74,55
Burundi,57,90,61,56,89,60,56,89,60,55,88,59,55,88,58,54,88,58,53,87,57,53,87,57,52,86,56,52,86,55,51,85,55,51,85,54,50,84,54,50,84,53,49,83,52,49,83,52,48,83,51,48,82,51
Cabo Verde,76,93,87,74,93,86,73,93,86,72,93,85,72,92,85,72,91,84,71,91,84,71,90,83,71,90,82,71,89,82,71,88,81,71,88,81,71,87,80,71,87,80,71,86,79,71,86,79,70,86,79,70,86,79
